positive,negative,subjective,objective,favorite_count,followers_count,friends_count,len_tweet,retweet_count,no_of_hashtags,no_of_user_mentions,viral_notviral
0,1,0,1,0,1025,58,139,32,7,12,0
0,1,0,1,0,18,227,144,1229,35,11,1
0,1,0,1,0,8325,8616,139,4,24,15,0
0,1,0,1,0,115,282,139,4,24,15,0
0,1,0,1,0,543,1475,139,32,7,12,0
0,1,0,1,4,8325,8616,140,4,24,0,0
0,1,1,0,0,73,365,140,0,0,36,0
0,1,0,1,0,92,100,139,32,7,12,0
1,0,0,1,0,22,516,139,0,0,63,0
0,1,0,1,0,253,280,139,8,18,50,0
0,1,0,1,0,24,125,138,0,0,81,0
0,1,0,1,0,41,55,140,3,0,130,0
1,0,1,0,0,30,11,140,0,0,27,0
1,0,0,1,0,545,462,143,1,0,10,0
0,1,0,1,0,218,1023,140,1,0,51,0
0,1,0,1,0,59,199,140,2,0,134,0
0,1,0,1,0,3412,4036,140,2,0,134,0
0,1,0,1,0,1731,2905,140,2,0,54,0
0,1,0,1,2,1731,2905,138,2,0,38,0
0,1,0,1,2,27,251,138,2,0,112,0
0,1,0,1,1,1,5,140,0,0,76,0
0,1,0,1,0,20,9,140,9,0,108,0
0,1,0,1,0,6,19,140,0,0,0,0
1,0,0,1,0,163,205,140,13,44,15,0
0,1,0,1,0,107,179,140,0,0,12,0
1,0,0,1,0,163,205,140,7,44,15,0
0,1,0,1,0,0,10,140,0,0,12,0
0,1,0,1,0,233,111,139,32,7,12,0
0,1,0,1,0,945,2367,140,3,14,75,0
0,1,0,1,3,945,2367,140,3,14,62,0
0,1,0,1,0,18,219,140,0,11,46,0
0,1,0,1,10,68,89,139,1,0,36,0
0,1,0,1,0,309,1030,139,32,7,12,0
0,1,0,1,0,81,291,139,0,0,61,0
0,1,0,1,0,12,41,139,32,7,12,0
0,1,0,1,0,1,28,134,0,0,108,0
1,0,1,0,0,37,59,140,1,0,28,0
1,0,1,0,0,19,256,140,0,0,91,0
1,0,0,1,0,866,984,140,13,44,15,0
1,0,0,1,0,866,984,140,7,44,15,0
0,1,0,1,0,1178,2493,140,1,27,22,0
0,1,0,1,2,122,44,140,1,20,8,0
0,1,1,0,0,27,92,140,0,11,42,0
1,0,0,1,0,288,1979,140,13,44,15,0
1,0,1,0,0,817,470,140,0,0,0,0
1,0,0,1,0,123,607,140,7,44,15,0
1,0,0,1,0,2404,1691,140,7,44,15,0
1,0,0,1,1,545,462,144,1,0,0,0
1,0,0,1,0,299,2644,140,7,44,15,0
1,0,0,1,0,832,944,140,7,44,15,0
0,1,1,0,0,0,9,144,1,0,38,0
1,0,0,1,0,16117,6972,140,7,44,15,0
1,0,0,1,14,16117,6972,140,7,44,0,0
0,1,1,0,1,0,9,144,1,0,22,0
1,0,0,1,0,551,829,140,13,44,15,0
1,0,0,1,0,330,325,140,13,44,15,0
1,0,0,1,0,362,142,140,13,44,15,0
1,0,0,1,0,2910,822,140,13,44,15,0
1,0,0,1,0,16117,6972,140,13,44,15,0
1,0,0,1,0,205,1375,140,13,44,15,0
1,0,0,1,12,16117,6972,140,13,44,0,0
1,0,1,0,2,226,404,140,1,0,11,0
0,1,1,0,0,4567,132,140,0,0,0,0
0,1,0,1,0,11,11,137,0,11,97,0
1,0,1,0,0,28,147,134,0,53,0,0
0,1,0,1,0,15,123,137,0,0,10,0
0,1,0,1,0,226,1553,140,0,16,12,0
1,0,0,1,0,418,2300,140,164,7,11,0
0,1,0,1,0,436,1209,144,1229,35,11,1
0,1,0,1,0,11,11,133,0,0,106,0
0,1,1,0,0,1,26,140,0,0,50,0
0,1,0,1,3,1314,306,140,0,16,0,0
1,0,1,0,0,26,77,139,2,7,12,0
1,0,1,0,1,17,94,140,2,7,0,0
0,1,0,1,0,95,43,140,0,0,37,0
0,1,0,1,0,612,297,140,3,0,130,0
1,0,1,0,0,22,150,143,0,35,0,0
0,1,0,1,0,1973,1286,140,3,0,130,0
0,1,0,1,3,6035,5612,125,3,0,99,0
0,1,0,1,0,573,69,148,0,0,12,0
0,1,0,1,0,158,187,139,32,7,12,0
0,1,0,1,0,35,791,140,0,0,22,0
0,1,0,1,2,148,1152,129,0,0,103,0
0,1,0,1,1,28,35,140,0,0,28,0
0,1,0,1,1,206,202,76,0,0,12,0
0,1,0,1,0,42,1748,140,1,0,119,0
1,0,1,0,0,5,23,140,0,0,12,0
1,0,0,1,1,9350,7338,139,0,0,8,0
0,1,0,1,1,354,23,140,0,7,12,0
0,1,1,0,0,2659,39,140,1,0,12,0
0,1,1,0,0,40,232,139,1,0,0,0
0,1,0,1,0,6,62,140,0,0,21,0
0,1,0,1,0,42074,10177,140,1776,0,10,1
1,0,1,0,0,20,121,144,0,0,0,0
0,1,0,1,0,589,275,139,32,7,12,0
0,1,0,1,0,2,7,140,0,0,36,0
0,1,0,1,0,63,143,139,32,7,12,0
